::1 - - [06/Apr/2019:18:17:01 +0000] "GET /api/grades HTTP/1.1" - - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/73.0.3683.75 Chrome/73.0.3683.75 Safari/537.36"
::ffff:127.0.0.1 - - [06/Apr/2019:18:17:39 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:21:17 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:06 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:11 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:14 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:19 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:46 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:48 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:51 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:53 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:57 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:24:59 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:28:02 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:28:14 +0000] "POST /api/grades HTTP/1.1" 400 1075 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:28:36 +0000] "GET /api/grades/1 HTTP/1.1" 500 57 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:29:25 +0000] "GET /api/grades/1 HTTP/1.1" 500 57 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:30:00 +0000] "GET /api/grades/1 HTTP/1.1" 200 57 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:30:29 +0000] "GET /api/grades/1 HTTP/1.1" 200 57 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:30:35 +0000] "POST /api/grades HTTP/1.1" 400 1075 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:32:03 +0000] "POST /api/grades HTTP/1.1" 200 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:32:17 +0000] "GET /api/grades HTTP/1.1" 200 261 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:32:37 +0000] "POST /api/grades HTTP/1.1" 200 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:34:09 +0000] "POST /api/grades HTTP/1.1" 201 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:34:28 +0000] "GET /api/grades HTTP/1.1" 200 320 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:34:35 +0000] "GET /api/grades HTTP/1.1" 200 320 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:34:41 +0000] "POST /api/grades HTTP/1.1" 201 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:34:47 +0000] "GET /api/grades HTTP/1.1" 200 379 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:49:31 +0000] "GET /api/grades HTTP/1.1" 200 275 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:56:21 +0000] "GET /api/grades HTTP/1.1" 200 275 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:56:27 +0000] "POST /api/grades HTTP/1.1" 201 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:56:59 +0000] "DELETE /api/grades/1 HTTP/1.1" 500 1282 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:57:45 +0000] "DELETE /api/grades/1 HTTP/1.1" 204 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:57:53 +0000] "GET /api/grades HTTP/1.1" 200 213 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:58:00 +0000] "POST /api/grades HTTP/1.1" 201 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:18:58:07 +0000] "GET /api/grades HTTP/1.1" 200 276 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:19:00:09 +0000] "PUT /api/grades/1 HTTP/1.1" 404 - "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:19:01:44 +0000] "PUT /api/grades/1 HTTP/1.1" 205 13 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:19:01:51 +0000] "GET /api/grades HTTP/1.1" 200 276 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:19:27:21 +0000] "PUT /api/grades/1 HTTP/1.1" 205 13 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:19:27:31 +0000] "PUT /api/grades/1 HTTP/1.1" 400 954 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [06/Apr/2019:19:27:40 +0000] "PUT /api/grades/1 HTTP/1.1" 205 13 "-" "vscode-restclient"
